rowId,gasDay,zoneCode,zoneName,largeUser,distribution,other,total
3275,2022-11-24,MT,Metro,286.8,41.6,9.4,337.8
3276,2022-11-24,MW,Mid-West,0,0,4.4,4.4
3277,2022-11-24,PR,Parmelia,1.9,19.7,4,25.6
3278,2022-11-24,PI,Pilbara,65.3,0,0,65.3
3279,2022-11-24,SW,South-West,315.8,15.2,17.6,348.6
3280,2022-11-24,TL,Telfer,19.9,0,0.5,20.4
3281,2022-11-25,DM,Dampier,182.4,0,2.7,185.1
3282,2022-11-25,GO,Goldfields,39.9,0.4,58,98.3
3283,2022-11-25,KG,Kalgoorlie,22.4,0.4,0.2,23
3284,2022-11-25,KA,Karratha,38.5,0,3.5,42
3285,2022-11-25,MT,Metro,296.6,30.9,9.5,337
3286,2022-11-25,MW,Mid-West,0,0,4.5,4.5
3287,2022-11-25,PR,Parmelia,2.4,19.7,4.1,26.2
3288,2022-11-25,PI,Pilbara,64.2,0,0,64.2
3289,2022-11-25,SW,South-West,314.7,14.4,17.1,346.2
3290,2022-11-25,TL,Telfer,15.2,0,0.5,15.7
3291,2022-11-26,DM,Dampier,179.6,0,2.9,182.5
3292,2022-11-26,GO,Goldfields,39.7,0.3,56.7,96.7
3293,2022-11-26,KG,Kalgoorlie,19.2,0.4,0.2,19.8
3294,2022-11-26,KA,Karratha,40.7,0,0.9,41.6
3295,2022-11-26,MT,Metro,279,29.9,9.4,318.3
3296,2022-11-26,MW,Mid-West,0,0,4.1,4.1
3297,2022-11-26,PR,Parmelia,2.7,19.9,4,26.6
3298,2022-11-26,PI,Pilbara,63.9,0,0,63.9
3299,2022-11-26,SW,South-West,272.8,14.2,17.4,304.4
3300,2022-11-26,TL,Telfer,14.3,0,0.5,14.8
3301,2022-11-27,DM,Dampier,178.5,0,2.4,180.9
3302,2022-11-27,GO,Goldfields,38.4,0.3,56.3,95
3303,2022-11-27,KG,Kalgoorlie,18,0.4,0.2,18.6
3304,2022-11-27,KA,Karratha,39.1,0,1.3,40.4
3305,2022-11-27,MT,Metro,248.3,29.2,9.3,286.8
3306,2022-11-27,MW,Mid-West,0,0,4,4
3307,2022-11-27,PR,Parmelia,2.7,19.5,3.9,26.1
3308,2022-11-27,PI,Pilbara,62.8,0,0,62.8
3309,2022-11-27,SW,South-West,280.2,14.3,17.2,311.7
3310,2022-11-27,TL,Telfer,15.4,0,0.5,15.9
3311,2022-11-28,DM,Dampier,143.1,0,2.2,145.3
3312,2022-11-28,GO,Goldfields,38.1,0.4,58.1,96.6
3313,2022-11-28,KG,Kalgoorlie,20.6,0.4,0.2,21.2
3314,2022-11-28,KA,Karratha,40.4,0,2.8,43.2
3315,2022-11-28,MT,Metro,231.7,26,9.2,266.9
3316,2022-11-28,MW,Mid-West,0,0,4.1,4.1
3317,2022-11-28,PR,Parmelia,17.6,20.3,4.4,42.3
3318,2022-11-28,PI,Pilbara,63,0,0,63
3319,2022-11-28,SW,South-West,262.8,14.4,16.5,293.7
3320,2022-11-28,TL,Telfer,17.8,0,0.5,18.3
3321,2022-11-29,DM,Dampier,114.5,0,2.3,116.8
3322,2022-11-29,GO,Goldfields,41.5,0.4,57.2,99.1
3323,2022-11-29,KG,Kalgoorlie,23.6,0.4,0.2,24.2
3324,2022-11-29,KA,Karratha,36.9,0,4.5,41.4
3325,2022-11-29,MT,Metro,292.1,23.5,9.1,324.7
3326,2022-11-29,MW,Mid-West,0,0,4.1,4.1
3327,2022-11-29,PR,Parmelia,17.8,18.6,4.5,40.9
3328,2022-11-29,PI,Pilbara,56.2,0,0,56.2
3329,2022-11-29,SW,South-West,316.3,13.8,16.7,346.8
3330,2022-11-29,TL,Telfer,20,0,0.5,20.5
3331,2022-11-30,DM,Dampier,106.8,0,2.9,109.7
3332,2022-11-30,GO,Goldfields,38.4,0.4,59.5,98.3
3333,2022-11-30,KG,Kalgoorlie,27.5,0.4,0.2,28.1
3334,2022-11-30,KA,Karratha,38.6,0,3.9,42.5
3335,2022-11-30,MT,Metro,298.9,25.5,9.4,333.8
3336,2022-11-30,MW,Mid-West,0,0,4.3,4.3
3337,2022-11-30,PR,Parmelia,17.9,19.6,5.2,42.7
3338,2022-11-30,PI,Pilbara,55.3,0,0,55.3
3339,2022-11-30,SW,South-West,296.5,14.3,16.5,327.3
3340,2022-11-30,TL,Telfer,19.7,0,0.4,20.1
3341,2022-12-01,DM,Dampier,99.3,0,2.5,101.8
3342,2022-12-01,GO,Goldfields,38.4,0.5,59.6,98.5
3343,2022-12-01,KG,Kalgoorlie,21.7,0.3,0.2,22.2
3344,2022-12-01,KA,Karratha,37.7,0,3.4,41.1
3345,2022-12-01,MT,Metro,293.5,31.2,9.2,333.9
3346,2022-12-01,MW,Mid-West,0,0,3.9,3.9
3347,2022-12-01,PR,Parmelia,18,17.9,5.2,41.1
3348,2022-12-01,PI,Pilbara,58.7,0,0,58.7
3349,2022-12-01,SW,South-West,325.5,15.5,17.4,358.4
3350,2022-12-01,TL,Telfer,19.7,0,0.4,20.1
3351,2022-12-02,DM,Dampier,105.9,0,3.4,109.3
3352,2022-12-02,GO,Goldfields,33.2,0.4,58.5,92.1
3353,2022-12-02,KG,Kalgoorlie,21.6,0.3,0.2,22.1
3354,2022-12-02,KA,Karratha,39.4,0,3.1,42.5
3355,2022-12-02,MT,Metro,269.8,32.7,9.3,311.8
3356,2022-12-02,MW,Mid-West,0,0,4,4
3357,2022-12-02,PR,Parmelia,17.6,18.1,4.7,40.4
3358,2022-12-02,PI,Pilbara,60.4,0,0,60.4
3359,2022-12-02,SW,South-West,315.7,15.3,15.1,346.1
3360,2022-12-02,TL,Telfer,20.1,0,0.4,20.5
3361,2022-12-03,DM,Dampier,132,0,2.4,134.4
3362,2022-12-03,GO,Goldfields,30.9,0.5,61.4,92.8
3363,2022-12-03,KG,Kalgoorlie,21,0.3,0.2,21.5
3364,2022-12-03,KA,Karratha,38.2,0,4.3,42.5
3365,2022-12-03,MT,Metro,262.1,34.1,9.3,305.5
3366,2022-12-03,MW,Mid-West,0,0,3.9,3.9
3367,2022-12-03,PR,Parmelia,3.1,17.2,4.8,25.1
3368,2022-12-03,PI,Pilbara,58.8,0,0,58.8
3369,2022-12-03,SW,South-West,320.5,14.3,17.7,352.5
3370,2022-12-03,TL,Telfer,20,0,0.4,20.4
3371,2022-12-04,DM,Dampier,163.8,0,2.6,166.4
3372,2022-12-04,GO,Goldfields,31.7,0.4,63,95.1
3373,2022-12-04,KG,Kalgoorlie,19.3,0.4,0.2,19.9
3374,2022-12-04,KA,Karratha,38.3,0,5.1,43.4
3375,2022-12-04,MT,Metro,276.1,31.2,8.8,316.1
3376,2022-12-04,MW,Mid-West,0,0,4.1,4.1
3377,2022-12-04,PR,Parmelia,3,17.5,4.9,25.4
3378,2022-12-04,PI,Pilbara,60.2,0,0,60.2
3379,2022-12-04,SW,South-West,321.7,14.1,16.3,352.1
3380,2022-12-04,TL,Telfer,20,0,0.3,20.3
3381,2022-12-05,DM,Dampier,187.9,0,2.4,190.3
3382,2022-12-05,GO,Goldfields,33.8,0.4,63.9,98.1
3383,2022-12-05,KG,Kalgoorlie,21.7,0.4,0.2,22.3
3384,2022-12-05,KA,Karratha,44.3,0,5,49.3
3385,2022-12-05,MT,Metro,279.7,38.4,9.3,327.4
3386,2022-12-05,MW,Mid-West,0,0,4.1,4.1
3387,2022-12-05,PR,Parmelia,2.9,18.9,4.7,26.5
3388,2022-12-05,PI,Pilbara,60.9,0,0,60.9
